page_path,total_traffic,total_logins,navbar_cta_clicks,navbar_cta_logins,inline_cta_clicks,inline_cta_logins,sticky_cta_clicks,sticky_cta_logins,top_cta_clicks,top_cta_logins,exit_cta_clicks,exit_cta_logins,rhs_banner_cta_clicks,rhs_banner_cta_logins,bottom_mini_calculator_cta_clicks,bottom_mini_calculator_cta_logins
/s/due-date-tax-filing,167328,"1,006","2,964",23,"1,647",13,"2,383",25,"1,244",5,"3,115",2,68,0,0,0
/s/income-tax-slabs,153053,635,"8,260",30,"3,490",10,"8,105",20,"2,875",40,106385,120,"1,660",15,"1,950",0
/s/simple-compound-interest-calculator,132260,91,"1,876",4,151,0,"24,456",27,446,1,"31,075",26,39,0,4,0
/s/gratuity-calculator,113409,85,968,2,94,0,"4,736",10,615,9,"16,233",14,82,0,6,0
/s/world-gdp-ranking-list,105834,35,875,0,484,0,"1,495",3,"1,403",0,"22,386",7,80,1,20,0
/s/pricing,"76,849","10,490","46,154",320,0,0,"11,962",148,"1,354",0,"5,618",24,0,0,0,0
/s/gst-hsn-lookup,"66,079",5,"2,634",1,0,0,940,0,0,0,0,0,0,0,0,0
/s/tds-rate-chart,"61,618",28,"1,213",2,623,2,649,2,403,3,22,0,6,0,20,0
/s/salary-hike-calculator,"50,481",36,503,1,21,0,"4,732",7,239,2,"9,818",8,8,0,0,0
/s/section-10-of-income-tax-act,"47,976",32,263,0,211,0,251,0,126,1,"5,325",5,46,0,18,1
/s/salary-calculator,"46,309",43,356,1,31,0,"3,678",3,177,2,"5,346",3,12,0,8,0
/s/income-tax-rebate-us-87a,"45,684",36,321,4,315,0,377,0,136,2,"5,460",4,67,1,44,0
/s/which-itr-to-file,"45,010",49,815,3,207,0,338,0,219,4,"4,135",5,95,1,49,0
/s/section-115bac-features-new-tax-regime-benefits,"43,913",36,218,0,290,1,290,2,159,1,"4,708",5,63,1,55,0
/s/old-tax-regime-vs-new-tax-regime,"43,103",132,"1,449",9,210,0,"1,539",6,633,6,"18,381",12,294,0,570,3
/s/cost-inflation-index,"41,335",24,181,0,132,0,430,0,123,1,"4,310",7,65,0,5,0
/s/how-to-update-or-correct-pan-card-details,"39,140",162,"1,065",2,491,2,"2,814",22,147,0,"5,402",7,27,1,4,0
/s/telangana-ration-card,"36,056",147,542,2,539,5,"2,577",23,228,0,"1,924",10,24,0,1,0
/s/pf-balance-check,"35,410",127,"2,753",9,584,3,"4,319",24,364,6,"3,250",6,37,1,6,0
/s/capital-gains-income,"35,341",49,285,2,250,2,310,1,157,0,"3,320",9,65,0,19,0
/s/contact-sales,"33,149",139,"5,282",36,0,0,0,0,20,0,0,0,0,0,0,0
/s/long-term-capital-gains-ltcg-tax,"32,139",31,173,2,156,0,196,0,70,0,"3,898",6,53,1,0,0
/s/section-194i-tds-on-rent,"32,088",4,131,1,96,1,88,0,97,0,6,0,10,0,4,0
/s/pan-card-download,"31,595",254,"1,546",4,"1,062",9,"5,204",46,235,3,"2,857",11,43,5,0,0
/s/section-194j,"30,309",20,137,1,85,0,73,0,83,0,7,0,7,0,14,0
/s/section-80ccd,"29,968",21,158,1,192,2,107,0,68,1,"2,876",1,29,1,10,0
/s/swp-calculator,"29,704",15,627,0,38,0,"3,758",4,138,2,"9,233",5,23,0,2,0
/s/epf-withdrawal-online,"28,299",92,"1,479",5,323,3,"3,077",25,283,3,"3,556",7,32,2,8,0
/s/ration-card-e-kyc-online,"27,749",221,"1,403",10,"1,025",13,"3,663",24,330,8,"3,204",11,19,1,0,0
/s/senior-citizen-savings-scheme,"26,998",32,135,1,213,0,420,3,111,1,"8,040",8,35,0,3,0
/s/partner-l-t-finance,"26,635",7,"4,289",0,0,0,0,0,58,0,0,0,0,0,0,0
/s/short-term-capital-gains-stcg-tax,"26,069",21,107,1,143,0,135,0,84,1,"3,498",1,35,0,0,0
